timestamp,event_id,trigger,force_sensor_raw,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6
1773344907.315265,1,effort,4095,0.323854,0.331898,1.302457,0.305070,1.011469,-0.043718,8.458678,-7.676960,4.964109,0.319535,0.004193,-0.025193,8.457795,0.040081,0.041068,0.067126,-0.003682,-0.004481,0.393892,0.332686,1.302392,0.368731,0.990536,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.960228,-0.014028,-0.014374,-0.023494,0.001289,0.001568
1773344907.333799,1,effort,4095,0.358165,0.331915,1.302434,0.349748,1.011469,-0.035665,9.355848,-7.753376,5.017166,0.299435,0.004344,-0.015143,9.354965,-0.036336,0.094125,0.047026,-0.003531,0.005569,0.396337,0.332837,1.302392,0.367580,0.986302,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.000000,0.012718,-0.032944,-0.016459,0.001236,-0.001949
1773344907.381057,1,effort,4095,0.358165,0.331915,1.302434,0.349748,1.011469,-0.035665,9.355848,-7.753376,5.017166,0.299435,0.004344,-0.015143,9.354965,-0.036336,0.094125,0.047026,-0.003531,0.005569,0.396824,0.332883,1.302392,0.366046,0.985023,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.000000,0.012718,-0.032944,-0.016459,0.001236,-0.001949
1773344907.393799,1,effort,4095,0.358165,0.331915,1.302434,0.349748,1.011469,-0.035665,9.355848,-7.753376,5.017166,0.299435,0.004344,-0.015143,9.354965,-0.036336,0.094125,0.047026,-0.003531,0.005569,0.397418,0.332975,1.302392,0.363937,0.983425,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.000000,0.012718,-0.032944,-0.016459,0.001236,-0.001949
1773344907.414515,1,effort,4095,0.358165,0.331915,1.302434,0.349748,1.011469,-0.035665,9.355848,-7.753376,5.017166,0.299435,0.004344,-0.015143,9.354965,-0.036336,0.094125,0.047026,-0.003531,0.005569,0.397418,0.332975,1.302392,0.363937,0.983425,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.000000,0.012718,-0.032944,-0.016459,0.001236,-0.001949
1773344907.434755,1,effort,4095,0.365741,0.331967,1.302401,0.353774,1.008752,-0.034323,5.917902,-7.801214,4.994999,0.391560,-0.422630,-0.013468,5.917019,-0.084174,0.071958,0.139151,-0.430505,0.007244,0.397414,0.332975,1.302392,0.363956,0.983439,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.070957,0.029461,-0.025185,-0.048703,0.150677,-0.002536
1773344907.457527,1,effort,4095,0.365741,0.331967,1.302401,0.353774,1.008752,-0.034323,5.917902,-7.801214,4.994999,0.391560,-0.422630,-0.013468,5.917019,-0.084174,0.071958,0.139151,-0.430505,0.007244,0.397389,0.332969,1.302392,0.364084,0.983536,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.070957,0.029461,-0.025185,-0.048703,0.150677,-0.002536
1773344907.473577,1,effort,4095,0.365741,0.331967,1.302401,0.353774,1.008752,-0.034323,5.917902,-7.801214,4.994999,0.391560,-0.422630,-0.013468,5.917019,-0.084174,0.071958,0.139151,-0.430505,0.007244,0.397244,0.332938,1.302392,0.364833,0.984098,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.070957,0.029461,-0.025185,-0.048703,0.150677,-0.002536
1773344907.496290,1,effort,4095,0.365741,0.331967,1.302401,0.353774,1.008752,-0.034323,5.917902,-7.801214,4.994999,0.391560,-0.422630,-0.013468,5.917019,-0.084174,0.071958,0.139151,-0.430505,0.007244,0.397232,0.332935,1.302392,0.364896,0.984145,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.070957,0.029461,-0.025185,-0.048703,0.150677,-0.002536
1773344907.514261,1,effort,4095,0.365741,0.331967,1.302401,0.353774,1.008752,-0.034323,5.917902,-7.801214,4.994999,0.391560,-0.422630,-0.013468,5.917019,-0.084174,0.071958,0.139151,-0.430505,0.007244,0.397232,0.332935,1.302392,0.364896,0.984145,-0.023777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.070957,0.029461,-0.025185,-0.048703,0.150677,-0.002536
