timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773348510.828542,RUNNING,4095,0,0,-0.267628,0.606638,1.457286,-0.384070,0.938525,-0.003260,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000000,-7.717728,4.923076,0.275985,0.007857,-0.046968,0.001672,0.002541,-0.007181,0.001926,0.000107,-0.006993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,0.000003,-0.000001,0.000000,0.000060,-0.000113,-0.000089,-0.000407,0.000135,-0.000048
1773348510.834237,RUNNING,4095,0,0,-0.267628,0.606638,1.457286,-0.384070,0.938525,-0.003260,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000000,-7.717728,4.923076,0.274310,0.007857,-0.045293,0.001672,0.002541,-0.007181,0.000251,0.000107,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,0.000003,-0.000001,0.000000,0.000060,-0.000113,-0.000089,-0.000407,0.000135,-0.000048
1773348510.856788,RUNNING,4095,0,0,-0.267582,0.606902,1.457147,-0.384646,0.938445,-0.003835,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000000,-7.717728,4.923076,0.274310,0.007857,-0.045293,0.001672,0.002541,-0.007181,0.000251,0.000107,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000001,0.000002,0.000007,-0.000000,0.000005,0.000106,0.000151,-0.000228,-0.000983,0.000055,-0.000623
1773348510.874480,RUNNING,4095,0,0,-0.267582,0.607205,1.457123,-0.384646,0.938445,-0.004602,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000000,-7.717728,4.923076,0.274310,0.007857,-0.045293,0.001672,0.002541,-0.007181,0.000251,0.000107,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000003,0.000002,0.000007,-0.000000,0.000010,0.000106,0.000454,-0.000252,-0.000983,0.000055,-0.001390
1773348510.894465,RUNNING,4095,0,0,-0.267582,0.607362,1.457103,-0.384646,0.938445,-0.004985,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000000,-7.717728,4.923076,0.274310,0.007857,-0.045293,0.001672,0.002541,-0.007181,0.000251,0.000107,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000005,0.000002,0.000007,-0.000000,0.000013,0.000106,0.000611,-0.000272,-0.000983,0.000055,-0.001773
1773348510.914284,RUNNING,4095,0,0,-0.267582,0.607644,1.457092,-0.384646,0.938445,-0.005561,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000000,-7.717728,4.923076,0.274310,0.007857,-0.045293,0.001672,0.002541,-0.007181,0.000251,0.000107,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000007,0.000002,0.000007,-0.000000,0.000018,0.000106,0.000893,-0.000283,-0.000983,0.000055,-0.002349
1773348510.934970,RUNNING,4095,0,0,-0.267582,0.607821,1.457082,-0.384646,0.938445,-0.005752,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000006,-7.717740,4.923077,0.274310,0.007857,-0.046968,0.001678,0.002529,-0.007180,0.000251,0.000107,-0.006993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000008,0.000002,0.000007,-0.000000,0.000019,0.000106,0.001070,-0.000293,-0.000983,0.000055,-0.002540
1773348510.956895,RUNNING,4095,0,0,-0.267582,0.607821,1.457082,-0.384646,0.938445,-0.005752,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000006,-7.717740,4.923077,0.274310,0.007857,-0.046968,0.001678,0.002529,-0.007180,0.000251,0.000107,-0.006993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000008,0.000002,0.000007,-0.000000,0.000019,0.000106,0.001070,-0.000293,-0.000983,0.000055,-0.002540
1773348510.974288,RUNNING,4095,0,0,-0.267582,0.607821,1.457082,-0.384646,0.938445,-0.005752,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000006,-7.717740,4.923077,0.274310,0.007857,-0.046968,0.001678,0.002529,-0.007180,0.000251,0.000107,-0.006993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000008,0.000002,0.000007,-0.000000,0.000019,0.000106,0.001070,-0.000293,-0.000983,0.000055,-0.002540
1773348510.994203,RUNNING,4095,0,0,-0.267582,0.607821,1.457082,-0.384646,0.938445,-0.005752,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000006,-7.717740,4.923077,0.274310,0.007857,-0.046968,0.001678,0.002529,-0.007180,0.000251,0.000107,-0.006993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000008,0.000002,0.000007,-0.000000,0.000019,0.000106,0.001070,-0.000293,-0.000983,0.000055,-0.002540
1773348511.013830,RUNNING,4095,0,0,-0.267582,0.607821,1.457082,-0.384646,0.938445,-0.005752,0.019188,0.331990,1.302869,-0.104311,1.022095,-0.053498,0.000006,-7.717740,4.923077,0.274310,0.007857,-0.046968,0.001678,0.002529,-0.007180,0.000251,0.000107,-0.006993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000008,0.000002,0.000007,-0.000000,0.000019,0.000106,0.001070,-0.000293,-0.000983,0.000055,-0.002540
