timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773348755.905669,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019213,0.331898,1.302856,-0.106995,1.021535,-0.054456,-0.000000,-7.716602,4.922696,0.247510,0.007794,-0.045293,0.003327,0.001510,-0.009792,-0.005234,-0.000462,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000016,-0.000005,-0.000007,0.000062,-0.000064,-0.000082,0.002102,0.000618,0.000923
1773348755.941349,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019213,0.331898,1.302856,-0.107187,1.021535,-0.054456,0.000000,-7.716590,4.922687,0.250860,0.007782,-0.046968,0.003327,0.001522,-0.009801,-0.001884,-0.000474,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000017,-0.000005,-0.000007,0.000062,-0.000064,-0.000082,0.002294,0.000618,0.000923
1773348755.945567,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019213,0.331898,1.302856,-0.107187,1.021535,-0.054456,0.000000,-7.716590,4.922687,0.250860,0.007782,-0.046968,0.003327,0.001522,-0.009801,-0.001884,-0.000474,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000017,-0.000005,-0.000007,0.000062,-0.000064,-0.000082,0.002294,0.000618,0.000923
1773348755.966558,RUNNING,4095,0,0,0.019248,0.331927,1.302779,-0.104886,1.022254,-0.053881,0.019213,0.331898,1.302856,-0.107187,1.021535,-0.054456,0.000000,-7.716590,4.922687,0.250860,0.007782,-0.046968,0.003327,0.001522,-0.009801,-0.001884,-0.000474,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000016,-0.000005,-0.000004,0.000038,-0.000034,-0.000115,0.002102,0.000617,0.000540
1773348755.985901,RUNNING,4095,0,0,0.019248,0.331930,1.302777,-0.106995,1.022254,-0.053498,0.019213,0.331898,1.302856,-0.107187,1.021535,-0.054456,0.000000,-7.716590,4.922687,0.250860,0.007782,-0.046968,0.003327,0.001522,-0.009801,-0.001884,-0.000474,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000000,-0.000005,-0.000007,0.000038,-0.000031,-0.000117,-0.000007,0.000617,0.000923
1773348756.005609,RUNNING,4095,0,0,0.019248,0.331930,1.302777,-0.109871,1.022254,-0.053498,0.019213,0.331898,1.302856,-0.107187,1.021535,-0.054456,0.000000,-7.716590,4.922687,0.250860,0.007782,-0.046968,0.003327,0.001522,-0.009801,-0.001884,-0.000474,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000022,-0.000005,-0.000007,0.000038,-0.000031,-0.000117,-0.002883,0.000617,0.000923
1773348756.027156,RUNNING,4095,0,0,0.019248,0.331932,1.302775,-0.111981,1.022254,-0.053306,0.019213,0.331898,1.302856,-0.107379,1.021535,-0.054456,-0.000084,-7.716367,4.922813,0.254210,0.007826,-0.045293,0.003243,0.001745,-0.009674,0.001466,-0.000430,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000036,-0.000005,-0.000008,0.000038,-0.000029,-0.000119,-0.004801,0.000617,0.001115
1773348756.046176,RUNNING,4095,0,0,0.019248,0.331934,1.302775,-0.115432,1.022254,-0.053306,0.019213,0.331898,1.302856,-0.107379,1.021535,-0.054456,-0.000084,-7.716367,4.922813,0.254210,0.007826,-0.045293,0.003243,0.001745,-0.009674,0.001466,-0.000430,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000062,-0.000005,-0.000008,0.000038,-0.000027,-0.000119,-0.008252,0.000617,0.001115
1773348756.066105,RUNNING,4095,0,0,0.019248,0.331940,1.302775,-0.117925,1.022254,-0.053306,0.019213,0.331898,1.302856,-0.107379,1.021535,-0.054456,-0.000084,-7.716367,4.922813,0.254210,0.007826,-0.045293,0.003243,0.001745,-0.009674,0.001466,-0.000430,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000081,-0.000005,-0.000008,0.000038,-0.000021,-0.000119,-0.010745,0.000617,0.001115
1773348756.085656,RUNNING,4095,0,0,0.019248,0.331942,1.302775,-0.119075,1.022254,-0.052922,0.019213,0.331898,1.302856,-0.107379,1.021535,-0.054456,-0.000084,-7.716367,4.922813,0.254210,0.007826,-0.045293,0.003243,0.001745,-0.009674,0.001466,-0.000430,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000011,0.000038,-0.000019,-0.000119,-0.011895,0.000617,0.001499
1773348756.105433,RUNNING,4095,0,0,0.019248,0.331946,1.302775,-0.119075,1.022254,-0.052731,0.019213,0.331898,1.302856,-0.107379,1.021535,-0.054456,-0.000084,-7.716367,4.922813,0.254210,0.007826,-0.045293,0.003243,0.001745,-0.009674,0.001466,-0.000430,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000013,0.000038,-0.000015,-0.000119,-0.011895,0.000617,0.001690
1773348756.126821,RUNNING,4095,0,0,0.019248,0.331946,1.302775,-0.119075,1.022254,-0.052731,0.019213,0.331898,1.302856,-0.107379,1.021455,-0.054456,-0.000720,-7.714551,4.920542,0.249185,0.007914,-0.046968,0.002607,0.003561,-0.011946,-0.003559,-0.000342,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000013,0.000038,-0.000015,-0.000119,-0.011895,0.000697,0.001690
1773348756.146381,RUNNING,4095,0,0,0.019248,0.331946,1.302773,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.107379,1.021455,-0.054456,-0.000720,-7.714551,4.920542,0.249185,0.007914,-0.046968,0.002607,0.003561,-0.011946,-0.003559,-0.000342,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000017,0.000038,-0.000015,-0.000121,-0.011895,0.000697,0.002266
1773348756.165921,RUNNING,4095,0,0,0.019248,0.331948,1.302772,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.107379,1.021455,-0.054456,-0.000720,-7.714551,4.920542,0.249185,0.007914,-0.046968,0.002607,0.003561,-0.011946,-0.003559,-0.000342,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000017,0.000038,-0.000013,-0.000122,-0.011895,0.000697,0.002266
1773348756.185676,RUNNING,4095,0,0,0.019248,0.331950,1.302770,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.107379,1.021455,-0.054456,-0.000720,-7.714551,4.920542,0.249185,0.007914,-0.046968,0.002607,0.003561,-0.011946,-0.003559,-0.000342,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000017,0.000038,-0.000011,-0.000124,-0.011895,0.000697,0.002266
1773348756.205849,RUNNING,4095,0,0,0.019248,0.331952,1.302770,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.107379,1.021455,-0.054456,-0.000720,-7.714551,4.920542,0.249185,0.007914,-0.046968,0.002607,0.003561,-0.011946,-0.003559,-0.000342,-0.005653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000089,-0.000005,-0.000017,0.000038,-0.000009,-0.000124,-0.011895,0.000697,0.002266
1773348756.226561,RUNNING,4095,0,0,0.019248,0.331952,1.302770,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.110255,1.021455,-0.054456,0.000789,-7.716422,4.922974,0.239135,0.007836,-0.045293,0.004116,0.001690,-0.009514,-0.013609,-0.000420,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000068,-0.000005,-0.000017,0.000038,-0.000009,-0.000124,-0.009019,0.000697,0.002266
1773348756.245590,RUNNING,4095,0,0,0.019248,0.331952,1.302770,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.110255,1.021455,-0.054456,0.000789,-7.716422,4.922974,0.239135,0.007836,-0.045293,0.004116,0.001690,-0.009514,-0.013609,-0.000420,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000068,-0.000005,-0.000017,0.000038,-0.000009,-0.000124,-0.009019,0.000697,0.002266
1773348756.265737,RUNNING,4095,0,0,0.019248,0.331953,1.302770,-0.119075,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.110255,1.021455,-0.054456,0.000789,-7.716422,4.922974,0.239135,0.007836,-0.045293,0.004116,0.001690,-0.009514,-0.013609,-0.000420,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000068,-0.000005,-0.000017,0.000038,-0.000008,-0.000124,-0.009019,0.000697,0.002266
1773348756.285789,RUNNING,4095,0,0,0.019248,0.331953,1.302770,-0.118308,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.110255,1.021455,-0.054456,0.000789,-7.716422,4.922974,0.239135,0.007836,-0.045293,0.004116,0.001690,-0.009514,-0.013609,-0.000420,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000062,-0.000005,-0.000017,0.000038,-0.000008,-0.000124,-0.008252,0.000697,0.002266
1773348756.306195,RUNNING,4095,0,0,0.019248,0.331955,1.302768,-0.112172,1.022254,-0.052155,0.019213,0.331898,1.302856,-0.110255,1.021455,-0.054456,0.000789,-7.716422,4.922974,0.239135,0.007836,-0.045293,0.004116,0.001690,-0.009514,-0.013609,-0.000420,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000016,-0.000005,-0.000017,0.000038,-0.000006,-0.000126,-0.002116,0.000697,0.002266
