timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773344902.812310,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019305,0.331904,1.302823,-0.106803,1.022334,-0.053306,-0.000000,-7.716535,4.922582,0.245835,0.007900,-0.015143,-0.000883,0.000505,-0.000459,-0.006574,0.000025,0.005569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000014,0.000001,0.000002,-0.000047,0.000021,-0.000007,0.001925,-0.000157,-0.000228
1773344902.832925,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053306,-0.000000,-7.716535,4.922582,0.250860,0.007900,-0.006768,-0.000883,0.000505,-0.000459,-0.001549,0.000025,0.013944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000017,0.000001,0.000002,-0.000047,0.000021,-0.000007,0.002308,-0.000157,-0.000228
1773344902.867903,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053306,-0.000000,-7.716535,4.922582,0.250860,0.007900,-0.006768,-0.000883,0.000505,-0.000459,-0.001549,0.000025,0.013944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000017,0.000001,0.000002,-0.000047,0.000021,-0.000007,0.002308,-0.000157,-0.000228
1773344902.872282,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053306,-0.000000,-7.716535,4.922582,0.250860,0.007900,-0.006768,-0.000883,0.000505,-0.000459,-0.001549,0.000025,0.013944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000017,0.000001,0.000002,-0.000047,0.000021,-0.000007,0.002308,-0.000157,-0.000228
1773344902.892656,RUNNING,4095,0,0,0.019181,0.331913,1.302787,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053306,-0.000000,-7.716535,4.922582,0.250860,0.007900,-0.006768,-0.000883,0.000505,-0.000459,-0.001549,0.000025,0.013944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000000,-0.000007,0.000001,0.000003,-0.000138,0.000037,-0.000032,0.000966,-0.000158,-0.000419
1773344902.912733,RUNNING,4095,0,0,0.019204,0.331913,1.302691,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053306,-0.000000,-7.716535,4.922582,0.250860,0.007900,-0.006768,-0.000883,0.000505,-0.000459,-0.001549,0.000025,0.013944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000003,-0.000115,0.000037,-0.000128,0.000966,-0.000158,-0.000419
1773344902.933588,RUNNING,4095,0,0,0.019211,0.331913,1.302672,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000002,-7.716918,4.922819,0.250860,0.007880,-0.023518,-0.000881,0.000123,-0.000222,-0.001549,0.000005,-0.002806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000108,0.000037,-0.000147,0.000966,-0.000158,-0.000610
1773344902.955283,RUNNING,4095,0,0,0.019213,0.331913,1.302668,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000002,-7.716918,4.922819,0.250860,0.007880,-0.023518,-0.000881,0.000123,-0.000222,-0.001549,0.000005,-0.002806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000106,0.000037,-0.000151,0.000966,-0.000158,-0.000610
1773344902.972683,RUNNING,4095,0,0,0.019215,0.331913,1.302658,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000002,-7.716918,4.922819,0.250860,0.007880,-0.023518,-0.000881,0.000123,-0.000222,-0.001549,0.000005,-0.002806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000104,0.000037,-0.000161,0.000966,-0.000158,-0.000610
1773344902.992581,RUNNING,4095,0,0,0.019217,0.331913,1.302649,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000002,-7.716918,4.922819,0.250860,0.007880,-0.023518,-0.000881,0.000123,-0.000222,-0.001549,0.000005,-0.002806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000102,0.000037,-0.000170,0.000966,-0.000158,-0.000610
1773344903.013542,RUNNING,4095,0,0,0.019219,0.331913,1.302635,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000002,-7.716918,4.922819,0.250860,0.007880,-0.023518,-0.000881,0.000123,-0.000222,-0.001549,0.000005,-0.002806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000100,0.000037,-0.000184,0.000966,-0.000158,-0.000610
1773344903.032700,RUNNING,4095,0,0,0.019221,0.331913,1.302628,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000004,-7.716474,4.922493,0.245835,0.007902,-0.020168,-0.000879,0.000566,-0.000549,-0.006574,0.000027,0.000544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000098,0.000037,-0.000191,0.000966,-0.000158,-0.000610
1773344903.056982,RUNNING,4095,0,0,0.019221,0.331913,1.302628,-0.106036,1.022254,-0.053689,0.019305,0.331904,1.302823,-0.107187,1.022334,-0.053114,0.000004,-7.716474,4.922493,0.245835,0.007902,-0.020168,-0.000879,0.000566,-0.000549,-0.006574,0.000027,0.000544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000001,-0.000007,0.000001,0.000005,-0.000098,0.000037,-0.000191,0.000966,-0.000158,-0.000610
