timestamp,event_id,trigger,force_sensor_raw,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6
1773348438.241548,1,effort,4095,-0.419720,1.141924,1.194474,-0.507748,-0.185835,-0.067303,-0.015964,-16.122423,1.453011,-0.080790,0.000298,-0.045293,-0.016010,-8.402225,-3.467323,-0.330603,-0.007408,-0.018404,-0.419477,1.163611,1.194425,-0.486080,-0.189750,-0.079959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005603,2.940779,1.213563,0.115711,0.002593,0.006441
1773348438.259927,1,effort,4095,-0.419718,1.148465,1.194559,-0.505447,-0.185835,-0.070180,0.004606,-10.116372,3.037597,-0.012115,-0.045789,-0.051993,0.004560,-2.396174,-1.882737,-0.261928,-0.053495,-0.025104,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001596,0.838661,0.658958,0.091675,0.018723,0.008786
1773348438.282106,1,effort,4095,-0.419718,1.148465,1.194559,-0.505447,-0.185835,-0.070180,0.004606,-10.116372,3.037597,-0.012115,-0.045789,-0.051993,0.004560,-2.396174,-1.882737,-0.261928,-0.053495,-0.025104,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001596,0.838661,0.658958,0.091675,0.018723,0.008786
1773348438.325864,1,effort,4095,-0.419718,1.148465,1.194559,-0.505447,-0.185835,-0.070180,0.004606,-10.116372,3.037597,-0.012115,-0.045789,-0.051993,0.004560,-2.396174,-1.882737,-0.261928,-0.053495,-0.025104,-0.419479,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001596,0.838661,0.658958,0.091675,0.018723,0.008786
1773348438.340087,1,effort,4095,-0.419718,1.148465,1.194559,-0.505447,-0.185835,-0.070180,0.004606,-10.116372,3.037597,-0.012115,-0.045789,-0.051993,0.004560,-2.396174,-1.882737,-0.261928,-0.053495,-0.025104,-0.419479,1.163611,1.194425,-0.485505,-0.189750,-0.079575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001596,0.838661,0.658958,0.091675,0.018723,0.008786
1773348438.359940,1,effort,4095,-0.419707,1.154938,1.194490,-0.499886,-0.186155,-0.071330,0.009984,-11.520027,2.084136,-0.013790,-0.017989,-0.051993,0.009939,-3.799829,-2.836199,-0.263603,-0.025694,-0.025104,-0.419479,1.163611,1.194425,-0.485505,-0.189750,-0.079575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003479,1.329940,0.992669,0.092261,0.008993,0.008786
1773348438.383074,1,effort,4095,-0.419707,1.154938,1.194490,-0.499886,-0.186155,-0.071330,0.009984,-11.520027,2.084136,-0.013790,-0.017989,-0.051993,0.009939,-3.799829,-2.836199,-0.263603,-0.025694,-0.025104,-0.419479,1.163611,1.194425,-0.485505,-0.189750,-0.079575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003479,1.329940,0.992669,0.092261,0.008993,0.008786
1773348438.405699,1,effort,4095,-0.419707,1.154938,1.194490,-0.499886,-0.186155,-0.071330,0.009984,-11.520027,2.084136,-0.013790,-0.017989,-0.051993,0.009939,-3.799829,-2.836199,-0.263603,-0.025694,-0.025104,-0.419478,1.163611,1.194425,-0.485505,-0.189750,-0.079671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003479,1.329940,0.992669,0.092261,0.008993,0.008786
1773348438.420295,1,effort,4095,-0.419707,1.154938,1.194490,-0.499886,-0.186155,-0.071330,0.009984,-11.520027,2.084136,-0.013790,-0.017989,-0.051993,0.009939,-3.799829,-2.836199,-0.263603,-0.025694,-0.025104,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003479,1.329940,0.992669,0.092261,0.008993,0.008786
1773348438.440432,1,effort,4095,-0.419707,1.154938,1.194490,-0.499886,-0.186155,-0.071330,0.009984,-11.520027,2.084136,-0.013790,-0.017989,-0.051993,0.009939,-3.799829,-2.836199,-0.263603,-0.025694,-0.025104,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003479,1.329940,0.992669,0.092261,0.008993,0.008786
1773348438.460575,1,effort,4095,-0.419707,1.151419,1.194501,-0.498736,-0.187034,-0.071522,0.001325,-10.550138,2.619864,-0.017140,-0.033258,-0.050318,0.001279,-2.829940,-2.300470,-0.266953,-0.040963,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000448,0.990479,0.805164,0.093434,0.014337,0.008200
1773348438.483554,1,effort,4095,-0.419707,1.151419,1.194501,-0.498736,-0.187034,-0.071522,0.001325,-10.550138,2.619864,-0.017140,-0.033258,-0.050318,0.001279,-2.829940,-2.300470,-0.266953,-0.040963,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000448,0.990479,0.805164,0.093434,0.014337,0.008200
1773348438.502348,1,effort,4095,-0.419707,1.151419,1.194501,-0.498736,-0.187034,-0.071522,0.001325,-10.550138,2.619864,-0.017140,-0.033258,-0.050318,0.001279,-2.829940,-2.300470,-0.266953,-0.040963,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000448,0.990479,0.805164,0.093434,0.014337,0.008200
1773348438.521344,1,effort,4095,-0.419707,1.151419,1.194501,-0.498736,-0.187034,-0.071522,0.001325,-10.550138,2.619864,-0.017140,-0.033258,-0.050318,0.001279,-2.829940,-2.300470,-0.266953,-0.040963,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000448,0.990479,0.805164,0.093434,0.014337,0.008200
1773348438.539645,1,effort,4095,-0.419707,1.151419,1.194501,-0.498736,-0.187034,-0.071522,0.001325,-10.550138,2.619864,-0.017140,-0.033258,-0.050318,0.001279,-2.829940,-2.300470,-0.266953,-0.040963,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000448,0.990479,0.805164,0.093434,0.014337,0.008200
1773348438.559680,1,effort,4095,-0.419707,1.153130,1.194501,-0.498736,-0.187114,-0.071714,-0.006257,-10.066056,2.436492,-0.010440,-0.027641,-0.050318,-0.006302,-2.345858,-2.483842,-0.260253,-0.035346,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002206,0.821050,0.869345,0.091089,0.012371,0.008200
1773348438.581891,1,effort,4095,-0.419707,1.153130,1.194501,-0.498736,-0.187114,-0.071714,-0.006257,-10.066056,2.436492,-0.010440,-0.027641,-0.050318,-0.006302,-2.345858,-2.483842,-0.260253,-0.035346,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002206,0.821050,0.869345,0.091089,0.012371,0.008200
1773348438.602386,1,effort,4095,-0.419707,1.153130,1.194501,-0.498736,-0.187114,-0.071714,-0.006257,-10.066056,2.436492,-0.010440,-0.027641,-0.050318,-0.006302,-2.345858,-2.483842,-0.260253,-0.035346,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002206,0.821050,0.869345,0.091089,0.012371,0.008200
1773348438.620130,1,effort,4095,-0.419707,1.153130,1.194501,-0.498736,-0.187114,-0.071714,-0.006257,-10.066056,2.436492,-0.010440,-0.027641,-0.050318,-0.006302,-2.345858,-2.483842,-0.260253,-0.035346,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002206,0.821050,0.869345,0.091089,0.012371,0.008200
1773348438.640385,1,effort,4095,-0.419707,1.153130,1.194501,-0.498736,-0.187114,-0.071714,-0.006257,-10.066056,2.436492,-0.010440,-0.027641,-0.050318,-0.006302,-2.345858,-2.483842,-0.260253,-0.035346,-0.023429,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002206,0.821050,0.869345,0.091089,0.012371,0.008200
1773348438.659466,1,effort,4095,-0.419707,1.152693,1.194501,-0.498544,-0.187353,-0.072097,0.000357,-10.436310,2.580870,-0.010440,-0.032180,-0.046968,0.000311,-2.716112,-2.339464,-0.260253,-0.039885,-0.020079,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.950639,0.818812,0.091089,0.013960,0.007028
1773348438.680660,1,effort,4095,-0.419707,1.152693,1.194501,-0.498544,-0.187353,-0.072097,0.000357,-10.436310,2.580870,-0.010440,-0.032180,-0.046968,0.000311,-2.716112,-2.339464,-0.260253,-0.039885,-0.020079,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.950639,0.818812,0.091089,0.013960,0.007028
1773348438.705765,1,effort,4095,-0.419707,1.152693,1.194501,-0.498544,-0.187353,-0.072097,0.000357,-10.436310,2.580870,-0.010440,-0.032180,-0.046968,0.000311,-2.716112,-2.339464,-0.260253,-0.039885,-0.020079,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.950639,0.818812,0.091089,0.013960,0.007028
1773348438.719354,1,effort,4095,-0.419707,1.152693,1.194501,-0.498544,-0.187353,-0.072097,0.000357,-10.436310,2.580870,-0.010440,-0.032180,-0.046968,0.000311,-2.716112,-2.339464,-0.260253,-0.039885,-0.020079,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.950639,0.818812,0.091089,0.013960,0.007028
1773348438.740022,1,effort,4095,-0.419707,1.152693,1.194501,-0.498544,-0.187353,-0.072097,0.000357,-10.436310,2.580870,-0.010440,-0.032180,-0.046968,0.000311,-2.716112,-2.339464,-0.260253,-0.039885,-0.020079,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.950639,0.818812,0.091089,0.013960,0.007028
1773348438.759418,1,effort,4095,-0.419707,1.152741,1.194501,-0.498544,-0.187353,-0.072097,0.000598,-10.454585,2.588011,-0.010440,-0.032391,-0.048643,0.000552,-2.734387,-2.332324,-0.260253,-0.040096,-0.021754,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000193,0.957036,0.816313,0.091089,0.014034,0.007614
1773348438.779657,1,effort,4095,-0.419707,1.152741,1.194501,-0.498544,-0.187353,-0.072097,0.000598,-10.454585,2.588011,-0.010440,-0.032391,-0.048643,0.000552,-2.734387,-2.332324,-0.260253,-0.040096,-0.021754,-0.419477,1.163611,1.194425,-0.485505,-0.189750,-0.079767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000193,0.957036,0.816313,0.091089,0.014034,0.007614
