timestamp,event_id,trigger,force_sensor_raw,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6
1773348761.506472,1,effort,4095,-0.269451,0.318111,1.406687,-0.044294,1.045903,-0.054456,-11.708794,-7.689403,4.969324,0.173810,-0.005594,-0.040268,-11.705467,0.028709,0.036836,-0.078934,-0.013850,0.001047,-0.314451,0.317220,1.407481,-0.041993,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,-0.010048,-0.012893,0.027627,0.004847,-0.000366
1773348761.528089,1,effort,4095,-0.303245,0.317981,1.406687,-0.046403,1.045903,-0.054456,-10.588268,-7.839272,4.901045,0.237460,-0.005642,-0.036918,-10.584941,-0.121160,-0.031443,-0.015284,-0.013898,0.004397,-0.314451,0.317220,1.407487,-0.041801,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.042406,0.011005,0.005350,0.004864,-0.001539
1773348761.547769,1,effort,4095,-0.303245,0.317981,1.406687,-0.046403,1.045903,-0.054456,-10.588268,-7.839272,4.901045,0.237460,-0.005642,-0.036918,-10.584941,-0.121160,-0.031443,-0.015284,-0.013898,0.004397,-0.314451,0.317210,1.407498,-0.041801,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.042406,0.011005,0.005350,0.004864,-0.001539
1773348761.565962,1,effort,4095,-0.303245,0.317981,1.406687,-0.046403,1.045903,-0.054456,-10.588268,-7.839272,4.901045,0.237460,-0.005642,-0.036918,-10.584941,-0.121160,-0.031443,-0.015284,-0.013898,0.004397,-0.314451,0.317210,1.407498,-0.041034,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.042406,0.011005,0.005350,0.004864,-0.001539
1773348761.586183,1,effort,4095,-0.303245,0.317981,1.406687,-0.046403,1.045903,-0.054456,-10.588268,-7.839272,4.901045,0.237460,-0.005642,-0.036918,-10.584941,-0.121160,-0.031443,-0.015284,-0.013898,0.004397,-0.314451,0.317210,1.407498,-0.041034,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.042406,0.011005,0.005350,0.004864,-0.001539
1773348761.606104,1,effort,4095,-0.303245,0.317981,1.406687,-0.046403,1.045903,-0.054456,-10.588268,-7.839272,4.901045,0.237460,-0.005642,-0.036918,-10.584941,-0.121160,-0.031443,-0.015284,-0.013898,0.004397,-0.314451,0.317210,1.407498,-0.041034,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.042406,0.011005,0.005350,0.004864,-0.001539
1773348761.631605,1,effort,4095,-0.286833,0.317988,1.406691,-0.050046,1.045903,-0.054456,-1.245907,-7.612824,4.959692,0.286035,-0.005029,-0.036918,-1.242580,0.105288,0.027205,0.033291,-0.013285,0.004397,-0.314451,0.317210,1.407498,-0.041034,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434903,-0.036851,-0.009522,-0.011652,0.004650,-0.001539
1773348761.646948,1,effort,4095,-0.286833,0.317988,1.406691,-0.050046,1.045903,-0.054456,-1.245907,-7.612824,4.959692,0.286035,-0.005029,-0.036918,-1.242580,0.105288,0.027205,0.033291,-0.013285,0.004397,-0.314451,0.317210,1.407498,-0.041036,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434903,-0.036851,-0.009522,-0.011652,0.004650,-0.001539
1773348761.666272,1,effort,4095,-0.286833,0.317988,1.406691,-0.050046,1.045903,-0.054456,-1.245907,-7.612824,4.959692,0.286035,-0.005029,-0.036918,-1.242580,0.105288,0.027205,0.033291,-0.013285,0.004397,-0.314451,0.317210,1.407498,-0.041224,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434903,-0.036851,-0.009522,-0.011652,0.004650,-0.001539
1773348761.686261,1,effort,4095,-0.286833,0.317988,1.406691,-0.050046,1.045903,-0.054456,-1.245907,-7.612824,4.959692,0.286035,-0.005029,-0.036918,-1.242580,0.105288,0.027205,0.033291,-0.013285,0.004397,-0.314451,0.317210,1.407498,-0.041226,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434903,-0.036851,-0.009522,-0.011652,0.004650,-0.001539
1773348761.710313,1,effort,4095,-0.286833,0.317988,1.406691,-0.050046,1.045903,-0.054456,-1.245907,-7.612824,4.959692,0.286035,-0.005029,-0.036918,-1.242580,0.105288,0.027205,0.033291,-0.013285,0.004397,-0.314451,0.317210,1.407498,-0.041226,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434903,-0.036851,-0.009522,-0.011652,0.004650,-0.001539
1773348761.730298,1,effort,4095,-0.296545,0.318029,1.406691,-0.057908,1.045903,-0.054456,-5.497892,-7.700472,4.951215,0.421710,-0.006150,-0.036918,-5.494565,0.017640,0.018727,0.168966,-0.014406,0.004397,-0.314451,0.317210,1.407498,-0.041226,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.923098,-0.006174,-0.006555,-0.059138,0.005042,-0.001539
1773348761.746617,1,effort,4095,-0.296545,0.318029,1.406691,-0.057908,1.045903,-0.054456,-5.497892,-7.700472,4.951215,0.421710,-0.006150,-0.036918,-5.494565,0.017640,0.018727,0.168966,-0.014406,0.004397,-0.314451,0.317210,1.407498,-0.041226,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.923098,-0.006174,-0.006555,-0.059138,0.005042,-0.001539
1773348761.766355,1,effort,4095,-0.296545,0.318029,1.406691,-0.057908,1.045903,-0.054456,-5.497892,-7.700472,4.951215,0.421710,-0.006150,-0.036918,-5.494565,0.017640,0.018727,0.168966,-0.014406,0.004397,-0.314451,0.317210,1.407498,-0.041226,1.046622,-0.047170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.923098,-0.006174,-0.006555,-0.059138,0.005042,-0.001539
