timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773348843.072902,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019286,0.331971,1.302837,-0.106612,1.022095,-0.053689,-0.000001,-7.717124,4.922626,0.239135,0.007873,-0.046968,-0.000013,0.005765,-0.000657,-0.010197,0.000245,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,-0.000013,-0.000001,-0.000001,-0.000050,-0.000117,-0.000085,0.001702,0.000149,0.000158
1773348843.108220,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,-0.000000,-7.717124,4.922628,0.254210,0.007873,-0.046968,-0.000012,0.005764,-0.000656,0.004878,0.000245,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,-0.000016,-0.000001,-0.000001,-0.000050,-0.000117,-0.000085,0.002085,0.000149,0.000158
1773348843.115015,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,-0.000000,-7.717124,4.922628,0.254210,0.007873,-0.046968,-0.000012,0.005764,-0.000656,0.004878,0.000245,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,-0.000016,-0.000001,-0.000001,-0.000050,-0.000117,-0.000085,0.002085,0.000149,0.000158
1773348843.133629,RUNNING,4095,0,0,0.019282,0.331869,1.302821,-0.104694,1.022174,-0.053881,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,-0.000000,-7.717124,4.922628,0.254210,0.007873,-0.046968,-0.000012,0.005764,-0.000656,0.004878,0.000245,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,-0.000016,-0.000001,0.000002,-0.000040,-0.000145,-0.000076,0.002085,0.000068,-0.000225
1773348843.153216,RUNNING,4095,0,0,0.019282,0.331869,1.302818,-0.106036,1.022174,-0.053498,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,-0.000000,-7.717124,4.922628,0.254210,0.007873,-0.046968,-0.000012,0.005764,-0.000656,0.004878,0.000245,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,-0.000006,-0.000001,-0.000001,-0.000040,-0.000145,-0.000079,0.000743,0.000068,0.000158
1773348843.173009,RUNNING,4095,0,0,0.019282,0.331869,1.302812,-0.107954,1.022174,-0.052539,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,-0.000000,-7.717124,4.922628,0.254210,0.007873,-0.046968,-0.000012,0.005764,-0.000656,0.004878,0.000245,-0.005318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000009,-0.000001,-0.000008,-0.000040,-0.000145,-0.000085,-0.001175,0.000068,0.001117
1773348843.193465,RUNNING,4095,0,0,0.019282,0.331869,1.302808,-0.109871,1.022174,-0.052539,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,0.000001,-7.716774,4.922698,0.250860,0.007877,-0.043618,-0.000011,0.006114,-0.000585,0.001528,0.000249,-0.001968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000023,-0.000001,-0.000008,-0.000040,-0.000145,-0.000089,-0.003092,0.000068,0.001117
1773348843.216489,RUNNING,4095,0,0,0.019282,0.331869,1.302802,-0.110830,1.022174,-0.052539,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,0.000001,-7.716774,4.922698,0.250860,0.007877,-0.043618,-0.000011,0.006114,-0.000585,0.001528,0.000249,-0.001968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000030,-0.000001,-0.000008,-0.000040,-0.000145,-0.000095,-0.004051,0.000068,0.001117
1773348843.233242,RUNNING,4095,0,0,0.019282,0.331869,1.302795,-0.111981,1.022174,-0.052539,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,0.000001,-7.716774,4.922698,0.250860,0.007877,-0.043618,-0.000011,0.006114,-0.000585,0.001528,0.000249,-0.001968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000039,-0.000001,-0.000008,-0.000040,-0.000145,-0.000102,-0.005202,0.000068,0.001117
1773348843.253804,RUNNING,4095,0,0,0.019282,0.331869,1.302791,-0.112364,1.022174,-0.052539,0.019286,0.331971,1.302837,-0.106995,1.022095,-0.053689,0.000001,-7.716774,4.922698,0.250860,0.007877,-0.043618,-0.000011,0.006114,-0.000585,0.001528,0.000249,-0.001968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000042,-0.000001,-0.000008,-0.000040,-0.000145,-0.000106,-0.005585,0.000068,0.001117
