timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773348564.219896,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717923,4.923224,0.270960,0.007868,-0.048643,-0.000000,-0.000024,0.000024,-0.002282,0.000012,-0.006742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000002,0.000001,-0.000001,0.000000,-0.000000,0.000000,-0.000211,-0.000085,0.000139
1773348564.262849,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717923,4.923224,0.270960,0.007868,-0.048643,-0.000000,-0.000024,0.000024,-0.002282,0.000012,-0.006742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000002,0.000001,-0.000001,0.000000,-0.000000,0.000000,-0.000211,-0.000085,0.000139
1773348564.279261,RUNNING,4095,0,0,0.019246,0.332042,1.302793,-0.103160,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717923,4.923224,0.270960,0.007868,-0.048643,-0.000000,-0.000024,0.000024,-0.002282,0.000012,-0.006742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000010,0.000001,0.000000,-0.000026,0.000145,-0.000019,0.001323,-0.000086,-0.000052
1773348564.301668,RUNNING,4095,0,0,0.019246,0.332045,1.302787,-0.103160,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717923,4.923224,0.270960,0.007868,-0.048643,-0.000000,-0.000024,0.000024,-0.002282,0.000012,-0.006742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000010,0.000001,0.000000,-0.000026,0.000148,-0.000025,0.001323,-0.000086,-0.000052
1773348564.319353,RUNNING,4095,0,0,0.019246,0.332061,1.302775,-0.103160,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717903,4.923204,0.277660,0.007861,-0.045293,-0.000000,-0.000004,0.000004,0.004418,0.000005,-0.003392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000010,0.000001,0.000000,-0.000026,0.000164,-0.000037,0.001323,-0.000086,-0.000052
1773348564.339380,RUNNING,4095,0,0,0.019246,0.332069,1.302768,-0.103160,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717903,4.923204,0.277660,0.007861,-0.045293,-0.000000,-0.000004,0.000004,0.004418,0.000005,-0.003392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000010,0.000001,0.000000,-0.000026,0.000172,-0.000044,0.001323,-0.000086,-0.000052
1773348564.359486,RUNNING,4095,0,0,0.019246,0.332069,1.302762,-0.103160,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717903,4.923204,0.277660,0.007861,-0.045293,-0.000000,-0.000004,0.000004,0.004418,0.000005,-0.003392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000010,0.000001,0.000000,-0.000026,0.000172,-0.000050,0.001323,-0.000086,-0.000052
1773348564.383259,RUNNING,4095,0,0,0.019246,0.332069,1.302762,-0.103544,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717903,4.923204,0.277660,0.007861,-0.045293,-0.000000,-0.000004,0.000004,0.004418,0.000005,-0.003392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000007,0.000001,0.000000,-0.000026,0.000172,-0.000050,0.000939,-0.000086,-0.000052
1773348564.401964,RUNNING,4095,0,0,0.019246,0.332069,1.302760,-0.103927,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,-0.000000,-7.717903,4.923204,0.277660,0.007861,-0.045293,-0.000000,-0.000004,0.000004,0.004418,0.000005,-0.003392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000004,0.000001,0.000000,-0.000026,0.000172,-0.000052,0.000556,-0.000086,-0.000052
1773348564.419545,RUNNING,4095,0,0,0.019246,0.332069,1.302758,-0.104694,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,0.000001,-7.717919,4.923220,0.270960,0.007867,-0.046968,0.000001,-0.000020,0.000021,-0.002282,0.000010,-0.005067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.000002,0.000001,0.000000,-0.000026,0.000172,-0.000054,-0.000211,-0.000086,-0.000052
1773348564.439986,RUNNING,4095,0,0,0.019246,0.332076,1.302750,-0.105078,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,0.000001,-7.717919,4.923220,0.270960,0.007867,-0.046968,0.000001,-0.000020,0.000021,-0.002282,0.000010,-0.005067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.000004,0.000001,0.000000,-0.000026,0.000179,-0.000062,-0.000595,-0.000086,-0.000052
1773348564.461013,RUNNING,4095,0,0,0.019246,0.332093,1.302735,-0.105078,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,0.000001,-7.717919,4.923220,0.270960,0.007867,-0.046968,0.000001,-0.000020,0.000021,-0.002282,0.000010,-0.005067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,0.000004,0.000001,0.000000,-0.000026,0.000196,-0.000077,-0.000595,-0.000086,-0.000052
1773348564.480808,RUNNING,4095,0,0,0.019246,0.332097,1.302726,-0.105078,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,0.000001,-7.717919,4.923220,0.270960,0.007867,-0.046968,0.000001,-0.000020,0.000021,-0.002282,0.000010,-0.005067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,0.000004,0.000001,0.000000,-0.000026,0.000200,-0.000086,-0.000595,-0.000086,-0.000052
1773348564.503161,RUNNING,4095,0,0,0.019246,0.332097,1.302724,-0.105078,1.022254,-0.053689,0.019181,0.331996,1.302864,-0.103544,1.022174,-0.055032,0.000001,-7.717919,4.923220,0.270960,0.007867,-0.046968,0.000001,-0.000020,0.000021,-0.002282,0.000010,-0.005067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,0.000004,0.000001,0.000000,-0.000026,0.000200,-0.000088,-0.000595,-0.000086,-0.000052
