timestamp,state,force_sensor,in_contact,effort_collision,master_pos_j1,master_pos_j2,master_pos_j3,master_pos_j4,master_pos_j5,master_pos_j6,slave_pos_j1,slave_pos_j2,slave_pos_j3,slave_pos_j4,slave_pos_j5,slave_pos_j6,slave_effort_j1,slave_effort_j2,slave_effort_j3,slave_effort_j4,slave_effort_j5,slave_effort_j6,slave_ext_torque_j1,slave_ext_torque_j2,slave_ext_torque_j3,slave_ext_torque_j4,slave_ext_torque_j5,slave_ext_torque_j6,master_effort_j1,master_effort_j2,master_effort_j3,master_effort_j4,master_effort_j5,master_effort_j6,reflected_tau_j1,reflected_tau_j2,reflected_tau_j3,reflected_tau_j4,reflected_tau_j5,reflected_tau_j6,q_err_j1,q_err_j2,q_err_j3,q_err_j4,q_err_j5,q_err_j6
1773348414.258931,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019280,0.331942,1.302775,-0.107379,1.022015,-0.053114,0.000001,-7.716784,4.922521,0.249185,0.007868,-0.028543,-0.000045,0.003414,0.002187,-0.000628,0.000163,-0.001654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,-0.000019,-0.000001,0.000004,-0.000048,-0.000097,0.000062,0.002500,0.000193,-0.000477
1773348414.296140,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019280,0.331942,1.302775,-0.107379,1.022015,-0.053114,0.000001,-7.716784,4.922521,0.249185,0.007868,-0.028543,-0.000045,0.003414,0.002187,-0.000628,0.000163,-0.001654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,-0.000019,-0.000001,0.000004,-0.000048,-0.000097,0.000062,0.002500,0.000193,-0.000477
1773348414.300472,RUNNING,4095,0,0,0.019272,0.331897,1.302812,-0.104694,1.022255,-0.053498,0.019280,0.331942,1.302775,-0.107379,1.022015,-0.053114,0.000001,-7.716784,4.922521,0.249185,0.007868,-0.028543,-0.000045,0.003414,0.002187,-0.000628,0.000163,-0.001654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,-0.000019,-0.000001,0.000004,-0.000048,-0.000097,0.000062,0.002500,0.000193,-0.000477
1773348414.318632,RUNNING,4095,0,0,0.019290,0.332057,1.302701,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107379,1.022015,-0.053114,0.000001,-7.716784,4.922521,0.249185,0.007868,-0.028543,-0.000045,0.003414,0.002187,-0.000628,0.000163,-0.001654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000027,0.000002,0.000002,-0.000030,0.000063,-0.000049,0.003650,-0.000287,-0.000285
1773348414.338564,RUNNING,4095,0,0,0.019290,0.332057,1.302524,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107379,1.022015,-0.053114,0.000001,-7.716784,4.922521,0.249185,0.007868,-0.028543,-0.000045,0.003414,0.002187,-0.000628,0.000163,-0.001654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000002,-0.000027,0.000002,0.000002,-0.000030,0.000063,-0.000226,0.003650,-0.000287,-0.000285
1773348414.359245,RUNNING,4095,0,0,0.019290,0.332057,1.302444,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107762,1.022015,-0.053114,-0.000004,-7.716464,4.922735,0.254210,0.007863,-0.030218,-0.000050,0.003734,0.002401,0.004397,0.000158,-0.003329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000002,-0.000030,0.000002,0.000002,-0.000030,0.000063,-0.000306,0.004033,-0.000287,-0.000285
1773348414.379411,RUNNING,4095,0,0,0.019290,0.332059,1.302367,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107762,1.022015,-0.053114,-0.000004,-7.716464,4.922735,0.254210,0.007863,-0.030218,-0.000050,0.003734,0.002401,0.004397,0.000158,-0.003329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000003,-0.000030,0.000002,0.000002,-0.000030,0.000065,-0.000383,0.004033,-0.000287,-0.000285
1773348414.399549,RUNNING,4095,0,0,0.019290,0.332059,1.302311,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107762,1.022015,-0.053114,-0.000004,-7.716464,4.922735,0.254210,0.007863,-0.030218,-0.000050,0.003734,0.002401,0.004397,0.000158,-0.003329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000003,-0.000030,0.000002,0.000002,-0.000030,0.000065,-0.000439,0.004033,-0.000287,-0.000285
1773348414.418581,RUNNING,4095,0,0,0.019290,0.332061,1.302256,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107762,1.022015,-0.053114,-0.000004,-7.716464,4.922735,0.254210,0.007863,-0.030218,-0.000050,0.003734,0.002401,0.004397,0.000158,-0.003329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000004,-0.000030,0.000002,0.000002,-0.000030,0.000067,-0.000494,0.004033,-0.000287,-0.000285
1773348414.438690,RUNNING,4095,0,0,0.019290,0.332061,1.302214,-0.103544,1.021775,-0.053306,0.019280,0.331942,1.302775,-0.107762,1.022015,-0.053114,-0.000004,-7.716464,4.922735,0.254210,0.007863,-0.030218,-0.000050,0.003734,0.002401,0.004397,0.000158,-0.003329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000004,-0.000030,0.000002,0.000002,-0.000030,0.000067,-0.000536,0.004033,-0.000287,-0.000285
